BA,Boeing Co/The,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Lockheed Martin Corp,Northrop Grumman Corp,Honeywell International Inc,Raytheon Co,L-3 Communications Holdings Inc,United Technologies Corp,Rockwell Collins Inc,General Dynamics Corp,Textron Inc,Orbital ATK Inc,B/E Aerospace Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
manager,60.35,53.63,67.10,72.47,53.51,54.97,49.40,42.62,46.30,64.64,71.74,53.65,42.82,56.31,61.63,51.69,,,47.73,49.57,51.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,16
software engineer < 3 years,48.80,35.59,47.65,43.99,,25.21,,32.29,33.06,,,,29.90,36.68,40.00,,39.09,,,35.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9
SCORE,82.0,50/61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFE,Pfizer Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Johnson & Johnson,Merck & Co Inc,Thermo Fisher Scientific Inc,Amgen Inc,AbbVie Inc,Eli Lilly & Co,Biogen Inc,Gilead Sciences Inc,Illumina Inc,Quintiles Transnational Holdings Inc,Bristol-Myers Squibb Co,Agilent Technologies Inc,Bio-Rad Laboratories Inc,Vertex Pharmaceuticals Inc,Allergan plc,Mylan NV,Regeneron Pharmaceuticals Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
administrative assistant,19.60,20.94,29.82,28.36,21.20,19.85,,,23.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
associate,30.60,28.49,43.88,36.64,25.00,,,24.54,,33.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
biochemist,31.03,35.77,43.08,45.85,,26.32,,33.82,41.45,48.81,36.39,32.61,,,37.49,,,33.11,,,36.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10
bioinformatics scientist,28.78,33.29,37.27,46.59,33.82,,,31.78,,,33.50,32.58,39.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
biological scientist,32.07,32.30,46.20,44.10,,,35.46,,,,,,32.18,,,,,,,,29.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
biologist,57.11,41.59,70.96,52.45,,37.58,,,,30.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
business analyst,29.94,28.63,37.11,37.90,25.00,26.75,26.83,,,,26.93,,,36.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6
chemist,28.69,31.72,38.60,40.46,,26.64,23.47,35.45,40.63,44.32,,32.59,,,35.30,33.72,24.91,30.02,26.50,30.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13
clinical research manager,57.25,45.63,77.30,66.16,,35.73,,,,,,48.79,,40.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
database analyst,47.23,43.95,53.00,55.80,,,40.25,40.58,52.36,,,40.61,42.54,46.27,,,46.41,35.91,,47.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10
engineer,32.88,34.48,39.00,44.98,37.48,31.65,30.12,37.67,,39.38,37.43,,33.42,,35.40,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10
fellow,23.03,23.46,30.73,30.22,20.13,19.80,,,,30.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
finance manager,42.79,42.96,68.53,60.28,45.03,40.00,40.12,40.56,49.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6
financial analyst,28.49,29.82,43.66,39.82,25.79,28.35,28.92,,33.88,29.00,,28.47,,,,35.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8
hr manager,51.71,49.02,86.59,73.31,50.99,,44.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
intern,13.07,16.05,19.55,21.13,15.13,18.10,15.62,17.70,,23.67,12.64,14.42,,15.45,17.10,,,14.77,,18.31,12.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13
it manager,52.36,50.91,75.25,69.57,45.89,43.65,49.38,48.25,58.77,,55.17,44.16,,60.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9
manager,53.51,53.63,76.80,72.47,54.97,49.40,42.62,46.30,64.64,71.74,53.65,42.82,56.31,61.63,51.69,,,47.73,49.57,60.35,51.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,16
marketing manager,50.34,50.67,81.06,70.52,50.30,49.96,46.02,46.56,62.99,,58.02,,48.46,,,,43.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9
medical sales representative,45.86,33.61,49.75,37.52,29.81,,25.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
medical scientist,27.75,38.85,43.02,49.99,,,,,50.63,,33.20,,,,43.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
pharmaceutical sales representative,36.40,35.01,39.67,39.14,36.27,33.96,,39.83,34.90,31.78,,,,27.43,41.50,,,,33.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9
process engineer,34.75,35.93,39.00,41.62,,37.20,,35.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
project manager,43.15,38.36,56.98,52.77,41.55,38.34,37.10,41.12,,,,,,40.02,36.83,39.64,29.20,,36.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10
research associate,20.93,23.01,30.55,33.91,23.27,30.40,,23.90,,25.50,25.20,21.83,19.61,,21.75,,17.70,24.73,,,21.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12
research scientist,35.86,40.05,47.21,51.98,35.46,31.38,,,54.91,56.60,,37.68,,,32.61,,,35.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8
sales representative,40.75,33.57,43.82,38.29,30.02,37.16,21.80,41.82,,33.08,,,,,,,,,30.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7
software engineer h1b,42.53,42.85,50.44,53.76,,,41.36,,43.47,,,,40.44,44.31,,44.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6
statistician,41.25,41.06,54.49,52.33,48.26,33.31,,38.55,47.09,48.51,42.86,35.47,,40.34,47.65,,,36.86,32.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,12
SCORE,56.5,122/216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,216
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q,Quintiles Transnational Holdings Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Pfizer Inc,Johnson & Johnson,Merck & Co Inc,Thermo Fisher Scientific Inc,Amgen Inc,AbbVie Inc,Eli Lilly & Co,Biogen Inc,Gilead Sciences Inc,Illumina Inc,Bristol-Myers Squibb Co,Agilent Technologies Inc,Bio-Rad Laboratories Inc,Vertex Pharmaceuticals Inc,Allergan plc,Mylan NV,Regeneron Pharmaceuticals Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
analyst,34.60,29.71,36.73,38.66,,25.87,32.12,24.36,,,,31.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
business analyst,36.30,28.63,38.31,37.90,29.94,25.00,26.75,26.83,,,,26.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
clinical research manager,40.76,45.63,44.94,66.16,57.25,,35.73,,,,,,48.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
database analyst,46.27,43.95,50.40,55.80,47.23,,,40.25,40.58,52.36,,,40.61,42.54,,,46.41,35.91,,47.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10
intern,15.45,16.05,17.11,21.13,13.07,15.13,18.10,15.62,17.70,,23.67,12.64,14.42,,17.10,,,14.77,,18.31,12.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13
it manager,60.52,50.91,63.59,69.57,52.36,45.89,43.65,49.38,48.25,58.77,,55.17,44.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9
manager,61.63,53.63,65.89,72.47,53.51,54.97,49.40,42.62,46.30,64.64,71.74,53.65,42.82,56.31,51.69,,,47.73,49.57,60.35,51.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,16
pharmaceutical sales representative,27.43,35.01,30.41,39.14,36.40,36.27,33.96,,39.83,34.90,31.78,,,,41.50,,,,33.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9
project manager,40.02,38.36,41.34,52.77,43.15,41.55,38.34,37.10,41.12,,,,,,36.83,39.64,29.20,,36.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10
software engineer < 3 years,40.00,35.59,43.03,43.99,,25.21,,32.29,33.06,,,,29.90,36.68,,39.09,,,35.31,48.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9
software engineer h1b,44.31,42.85,47.16,53.76,42.53,,,41.36,,43.47,,,,40.44,,44.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6
statistician,40.34,41.06,41.76,52.33,41.25,48.26,33.31,,38.55,47.09,48.51,42.86,35.47,,47.65,,,36.86,32.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12
SCORE,69.7,76/109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGN,Regeneron Pharmaceuticals Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Pfizer Inc,Johnson & Johnson,Merck & Co Inc,Thermo Fisher Scientific Inc,Amgen Inc,AbbVie Inc,Eli Lilly & Co,Biogen Inc,Gilead Sciences Inc,Illumina Inc,Quintiles Transnational Holdings Inc,Bristol-Myers Squibb Co,Agilent Technologies Inc,Bio-Rad Laboratories Inc,Vertex Pharmaceuticals Inc,Allergan plc,Mylan NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
biochemist,36.65,35.77,47.02,45.85,31.03,,26.32,,33.82,41.45,48.81,36.39,32.61,,,37.49,,,33.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10
biological scientist,29.48,32.30,37.94,44.10,32.07,,,35.46,,,,,,32.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
intern,12.64,16.05,17.06,21.13,13.07,15.13,18.10,15.62,17.70,,23.67,12.64,14.42,,15.45,17.10,,,14.77,,18.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13
manager,51.23,53.63,81.63,72.47,53.51,54.97,49.40,42.62,46.30,64.64,71.74,53.65,42.82,56.31,61.63,51.69,,,47.73,49.57,60.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,16
research associate,21.26,23.01,33.43,33.91,20.93,23.27,30.40,,23.90,,25.50,25.20,21.83,19.61,,21.75,,17.70,24.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12
SCORE,36.4,20/55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMO,Thermo Fisher Scientific Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
JOB,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG INDUSTRY,UNADJUSTED HOURLY AVG,UNADJUSTED HOURLY AVG INDUSTRY,Pfizer Inc,Johnson & Johnson,Merck & Co Inc,Amgen Inc,AbbVie Inc,Eli Lilly & Co,Biogen Inc,Gilead Sciences Inc,Illumina Inc,Quintiles Transnational Holdings Inc,Bristol-Myers Squibb Co,Agilent Technologies Inc,Bio-Rad Laboratories Inc,Vertex Pharmaceuticals Inc,Allergan plc,Mylan NV,Regeneron Pharmaceuticals Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,MAX
account manager,29.92,35.54,36.63,43.81,,36.70,,,,,,,,,,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
analyst,24.36,29.71,28.41,38.66,,25.87,32.12,,,,31.58,,,34.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
biological scientist,35.46,32.30,46.76,44.10,32.07,,,,,,,,32.18,,,,,,,,29.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
business analyst,26.83,28.63,34.60,37.90,29.94,25.00,26.75,,,,26.93,,,36.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6
chemist,23.47,31.72,32.19,40.46,28.69,,26.64,35.45,40.63,44.32,,32.59,,,35.30,33.72,24.91,30.02,26.50,30.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13
database analyst,40.25,43.95,54.44,55.80,47.23,,,40.58,52.36,,,40.61,42.54,46.27,,,46.41,35.91,,47.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10
engineer,30.12,34.48,44.00,44.98,32.88,37.48,31.65,37.67,,39.38,37.43,,33.42,,35.40,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10
engineering manager,49.50,49.89,65.30,67.18,,53.31,46.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
finance manager,40.12,42.96,50.56,60.28,42.79,45.03,40.00,40.56,49.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
financial analyst,28.92,29.82,36.11,39.82,28.49,25.79,28.35,,33.88,29.00,,28.47,,,,35.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8
hr manager,44.36,49.02,61.85,73.31,51.71,50.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
intern,15.62,16.05,20.19,21.13,13.07,15.13,18.10,17.70,,23.67,12.64,14.42,,15.45,17.10,,,14.77,,18.31,12.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,13
it manager,49.38,50.91,65.58,69.57,52.36,45.89,43.65,48.25,58.77,,55.17,44.16,,60.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9
manager,42.62,53.63,54.84,72.47,53.51,54.97,49.40,46.30,64.64,71.74,53.65,42.82,56.31,61.63,51.69,,,47.73,49.57,60.35,51.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16
manufacturing,12.06,20.23,18.54,25.06,,,,27.39,,,24.89,,17.67,,,19.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
marketing manager,46.02,50.67,61.76,70.52,50.34,50.30,49.96,46.56,62.99,,58.02,,48.46,,,,43.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9
medical sales representative,25.15,33.61,29.40,37.52,45.86,29.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
product manager,39.70,37.27,51.30,53.80,,44.40,33.18,37.73,,,,,39.00,,,,29.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6
project manager,37.10,38.36,49.79,52.77,43.15,41.55,38.34,41.12,,,,,,40.02,36.83,39.64,29.20,,36.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10
sales representative,21.80,33.57,25.74,38.29,40.75,30.02,37.16,41.82,,33.08,,,,,,,,,30.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7
software engineer 5 - 10 years,37.77,37.12,51.71,47.65,,,,34.17,,,,,,,,39.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
software engineer < 3 years,32.29,35.59,40.12,43.99,,25.21,,33.06,,,,29.90,36.68,40.00,,39.09,,,35.31,48.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9
software engineer h1b,41.36,42.85,54.92,53.76,42.53,,,,43.47,,,,40.44,44.31,,44.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6
SCORE,35.3,59/167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRTX,Vertex Pharmaceuticals Inc,,,,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,REAL WAGE HOURLY AVG,,
